candidate_id,bin,q_sign,q_abs,M_obs,qA_observed,qA_expected,qA_distance,qA_match,T_observed,T_expected,T_distance,T_match,W_observed,W_expected,W_distance,W_match,all_three_match
QP093A-0243,bound_composite_rows,positive,1,26.99479167,27.1822555,27.182255501041666666666666666666666666666666666666666666666666666666666666666665,1.041666666666666666666666666666666666666666666666666666666666666666665E-9,True,3.397781937,3.3977819376302083333333333333333333333333333333333333333333333333333333333333331,6.302083333333333333333333333333333333333333333333333333333333333333331E-10,True,23.78447356,23.784473563411458333333333333333333333333333333333333333333333333333333333333332,3.411458333333333333333333333333333333333333333333333333333333333333332E-9,True,True
QP093A-0115,bound_composite_rows,positive,1,72,72.5,72.499999999999999999999999999999999999999999999999999999999999999999999999999997,3E-78,True,9.0625,9.0624999999999999999999999999999999999999999999999999999999999999999999999999996,4E-79,True,63.4375,63.437499999999999999999999999999999999999999999999999999999999999999999999999998,2E-78,True,True
QP093A-0237,bound_composite_rows,negative,2,42.01012731,42.59360131,42.593601300416666666666666666666666666666666666666666666666666666666666666666667,9.583333333333333333333333333333333333333333333333333333333333333333333E-9,True,5.324200163,5.3242001625520833333333333333333333333333333333333333333333333333333333333333334,4.479166666666666666666666666666666666666666666666666666666666666666666E-10,True,37.26940114,37.269401137864583333333333333333333333333333333333333333333333333333333333333334,2.135416666666666666666666666666666666666666666666666666666666666666666E-9,True,True
QP093A-0012,stable_matter_rows,neutral,0,0.5,0.5,0.5,0.0,True,0.0625,0.0625,0.0000,True,0.4375,0.4375,0.0000,True,True
QP093A-0010,stable_matter_rows,positive,4,5,5.138888889,5.1388888888888888888888888888888888888888888888888888888888888888888888888888890,1.111111111111111111111111111111111111111111111111111111111111111111110E-10,True,0.642361111,0.64236111111111111111111111111111111111111111111111111111111111111111111111111112,1.1111111111111111111111111111111111111111111111111111111111111111111112E-10,True,4.496527778,4.4965277777777777777777777777777777777777777777777777777777777777777777777777779,2.222222222222222222222222222222222222222222222222222222222222222222221E-10,True,True
QP093A-0011,stable_matter_rows,negative,4,6,6.166666667,6.1666666666666666666666666666666666666666666666666666666666666666666666666666668,3.333333333333333333333333333333333333333333333333333333333333333333332E-10,True,0.770833333,0.77083333333333333333333333333333333333333333333333333333333333333333333333333335,3.3333333333333333333333333333333333333333333333333333333333333333333335E-10,True,5.395833333,5.3958333333333333333333333333333333333333333333333333333333333333333333333333335,3.333333333333333333333333333333333333333333333333333333333333333333335E-10,True,True
QP093A-0036,stable_matter_rows,neutral,0,6,6,6,0,True,0.75,0.75,0.00,True,5.25,5.25,0.00,True,True
QP093A-0034,stable_matter_rows,positive,4,60,61.66666667,61.666666666666666666666666666666666666666666666666666666666666666666666666666668,3.333333333333333333333333333333333333333333333333333333333333333333332E-9,True,7.708333333,7.7083333333333333333333333333333333333333333333333333333333333333333333333333335,3.333333333333333333333333333333333333333333333333333333333333333333335E-10,True,53.95833333,53.958333333333333333333333333333333333333333333333333333333333333333333333333335,3.333333333333333333333333333333333333333333333333333333333333333333335E-9,True,True
QP093A-0035,stable_matter_rows,negative,4,72,74,74.000000000000000000000000000000000000000000000000000000000000000000000000000002,2E-78,True,9.25,9.2500000000000000000000000000000000000000000000000000000000000000000000000000002,2E-79,True,64.75,64.750000000000000000000000000000000000000000000000000000000000000000000000000001,1E-78,True,True
QP093A-0060,stable_matter_rows,neutral,0,72,72,72,0,True,9,9,0,True,63,63,0,True,True
QP093A-0058,stable_matter_rows,positive,4,720,740,740.00000000000000000000000000000000000000000000000000000000000000000000000000002,2E-77,True,92.5,92.500000000000000000000000000000000000000000000000000000000000000000000000000002,2E-78,True,647.5,647.50000000000000000000000000000000000000000000000000000000000000000000000000001,1E-77,True,True
QP093A-0059,stable_matter_rows,negative,4,864,888,888.00000000000000000000000000000000000000000000000000000000000000000000000000002,2E-77,True,111,111.00000000000000000000000000000000000000000000000000000000000000000000000000000,0E-77,True,777,777.00000000000000000000000000000000000000000000000000000000000000000000000000001,1E-77,True,True
QP093A-0251,bound_composite_rows,positive,2,41.98987269,42.57306536,42.573065366250000000000000000000000000000000000000000000000000000000000000000000,6.250000000000000000000000000000000000000000000000000000000000000000000E-9,True,5.32163317,5.321633170781250000000000000000000000000000000000000000000000000000000000000000,7.81250000000000000000000000000000000000000000000000000000000000000000E-10,True,37.25143219,37.25143219546875000000000000000000000000000000000000000000000000000000000000000,5.46875000000000000000000000000000000000000000000000000000000000000000E-9,True,True
QP093A-0244,bound_composite_rows,neutral,0,43,43,43,0,True,5.375,5.375,0.000,True,37.625,37.625,0.000,True,True
QP093A-0238,bound_composite_rows,negative,3,57.01649306,58.20433666,58.204336665416666666666666666666666666666666666666666666666666666666666666666665,5.416666666666666666666666666666666666666666666666666666666666666666665E-9,True,7.275542083,7.2755420831770833333333333333333333333333333333333333333333333333333333333333331,1.770833333333333333333333333333333333333333333333333333333333333333331E-10,True,50.92879458,50.928794582239583333333333333333333333333333333333333333333333333333333333333332,2.239583333333333333333333333333333333333333333333333333333333333333332E-9,True,True
QP093A-0245,bound_composite_rows,negative,1,75.01446759,75.5354014,75.535401392708333333333333333333333333333333333333333333333333333333333333333330,7.291666666666666666666666666666666666666666666666666666666666666666670E-9,True,9.441925174,9.4419251740885416666666666666666666666666666666666666666666666666666666666666662,8.85416666666666666666666666666666666666666666666666666666666666666662E-11,True,66.09347622,66.093476218619791666666666666666666666666666666666666666666666666666666666666664,1.380208333333333333333333333333333333333333333333333333333333333333336E-9,True,True
