scenario_id,lane,anchor,seed,p_level,geometry,atom_count,ledger_count,door,carrier_count,escape_only_count,dual_count,return_only_count,neither_count,reinforcer_count,canceller_count,neutral_count,total_power_proxy,incoherent_power_expectation,coherence_gain,coarse_power_proxy,fine_coarse_relative_error,sum_individual_delta_power,reinforcement_tolerance
REF_0131,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,1,localized_ledger_cells,3402,21,discovery,378,336,42,0,0,220,158,0,222.4480499687517,21.695141257271963,10.25335799066022,218.12940031084426,0.019414194273737573,423.20095868023134,5.884869046792373e-13
REF_0132,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,1,dispersed_slots,3402,21,discovery,378,332,4,2,40,184,194,0,14.791224491355688,36.4461967490245,0.40583725630443407,14.533453523326438,0.017427290633030234,-6.863747766313129,3.9130223522104994e-14
REF_0133,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,2,localized_ledger_cells,5346,33,discovery,594,563,31,0,0,297,297,0,87.83394182750399,26.594240591911365,3.302742995196436,86.08624384731628,0.019897751869317127,149.0736430630966,1.478685889351919e-13
REF_0134,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,2,dispersed_slots,5346,33,discovery,594,553,2,1,38,305,289,0,5.848055739803902,39.59583239442806,0.14769371891337846,5.725454137417387,0.020964506468713378,-27.899720914820268,9.845211683171552e-15
REF_0135,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,3,localized_ledger_cells,9072,56,discovery,1008,942,66,0,0,520,488,0,64.08768178401651,34.44621922574737,1.8605142516225166,62.89390839470131,0.01862718943928043,93.72914434228562,6.357904938890528e-14
REF_0136,REFERENCE_MIDDLE_DRIVE,middle_drive,910001,3,dispersed_slots,9072,56,discovery,1008,947,15,4,42,522,486,0,11.87739239970243,47.44488326857383,0.25034084987557936,11.589812670552856,0.0242123624000819,-23.690098469168973,1.1783127380657172e-14
REF_0137,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,0,localized_ledger_cells,2268,14,discovery,252,230,22,0,0,123,129,0,26.01203749741977,30.772961967894318,0.8452887156120473,25.50766296781434,0.01939004315426883,21.25111302694522,1.0322237102150701e-13
REF_0138,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,0,dispersed_slots,2268,14,discovery,252,214,0,0,38,127,125,0,28.888362960916332,20.64095802263227,1.3995650264508557,28.38949272696633,0.017268899405097227,37.1357678992004,1.1463636095601718e-13
REF_0139,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,1,localized_ledger_cells,3402,21,discovery,378,352,26,0,0,194,184,0,20.572545242732314,32.82901628041239,0.6266573773338141,20.196489860342698,0.018279477719095816,8.316074205052246,5.44247228643712e-14
REF_0140,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,1,dispersed_slots,3402,21,discovery,378,336,2,1,39,181,197,0,11.175111437330592,22.10930272649849,0.5054483886521203,10.955688414343557,0.01963497404187399,0.24092014816269813,2.956378687124495e-14
