row_index,candidate_id,bin,operator_class,route_combination,spin_or_hand_class,numeric_signature_key
12,QP093A-0075,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=2,g=0])",fermion_half_write,antimatter_conjugate_rows|2|0|negative|2|conjugate_axis|2.50|negative_credit|depth=0|-0.4166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666668|2.916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|2.957175925925925925925925925925925925925925925925925925925925925925925925925925925925925925925925927|0.3696469907407407407407407407407407407407407407407407407407407407407407407407407407407407407407407409|2.587528935185185185185185185185185185185185185185185185185185185185185185185185185185185185185185186
13,QP093A-0076,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=2,g=0])",fermion_half_write,antimatter_conjugate_rows|2|0|positive|2|conjugate_axis|3.0|positive_debit|depth=0|0.5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001|2.500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|2.534722222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222|0.3168402777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777778|2.217881944444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444
14,QP093A-0077,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=3,g=0])",fermion_half_write,antimatter_conjugate_rows|3|0|negative|3|conjugate_axis|3.75|negative_credit|depth=0|-0.9375|4.6875|4.785156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998|0.5981445312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998|4.187011718749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
15,QP093A-0078,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=3,g=0])",fermion_half_write,antimatter_conjugate_rows|3|0|positive|3|conjugate_axis|4.5|positive_debit|depth=0|1.125|3.375|3.445312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|0.4306640624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|3.014648437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
16,QP093A-0079,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=4,g=0])",fermion_half_write,antimatter_conjugate_rows|4|0|negative|4|conjugate_axis|5.00|negative_credit|depth=0|-1.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666|6.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666|6.851851851851851851851851851851851851851851851851851851851851851851851851851851851851851851851851853|0.8564814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814816|5.995370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370370371
17,QP093A-0080,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=4,g=0])",fermion_half_write,antimatter_conjugate_rows|4|0|positive|4|conjugate_axis|6.0|positive_debit|depth=0|2.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|4.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|4.111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112|0.513888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889|3.597222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
18,QP093A-0081,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=6,g=0])",fermion_half_write,antimatter_conjugate_rows|6|0|negative|6|conjugate_axis|7.50|negative_credit|depth=0|-3.750|11.250|11.71875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|1.46484375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|10.25390625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,QP093A-0082,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=6,g=0])",fermion_half_write,antimatter_conjugate_rows|6|0|positive|6|conjugate_axis|9.0|positive_debit|depth=0|4.50|4.50|4.687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002|0.5859375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002|4.101562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
20,QP093A-0083,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=8,g=0])",fermion_half_write,antimatter_conjugate_rows|8|0|negative|8|conjugate_axis|10.00|negative_credit|depth=0|-6.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|16.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|17.59259259259259259259259259259259259259259259259259259259259259259259259259259259259259259259259260|2.199074074074074074074074074074074074074074074074074074074074074074074074074074074074074074074074075|15.39351851851851851851851851851851851851851851851851851851851851851851851851851851851851851851851852
21,QP093A-0084,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=8,g=0])",fermion_half_write,antimatter_conjugate_rows|8|0|positive|8|conjugate_axis|12.0|positive_debit|depth=0|8.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|4.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|4.222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222224|0.527777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777778|3.694444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444446
