signature,closure_depth,q_abs,observed_fraction,tensor_fraction,source_disposition,source_subbucket,typed_guard_allowed
1+8+9,0,7,9636,631526041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+8+12,0,7,13794,904033854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+9+9,3,8,2935238064236111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1936441778489101080246913580246913580246913580246913580246913580246913580246913580246913580246913581/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+9+12,3,8,4069716579861111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,214790597270447530864197530864197530864197530864197530864197530864197530864197530864197530864197531/200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+12+12,3,11,260247384982638888888888888888888888888888888888888888888888888888888888888888888888888888888888889/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,280127393557701581790123456790123456790123456790123456790123456790123456790123456790123456790123457/200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+2+2,0,2,252,511/16,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+2+3,3,0,6116236979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3822648111979166666666666666666666666666666666666666666666666666666666666666666666666666666666666667/50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+2+4,3,1,8639270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,54370411060474537037037037037037037037037037037037037037037037037037037037037037037037037037037037/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+2+6,3,0,1583026041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,989391276041666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+2+8,0,2,1512,1533/8,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
2+2+9,3,0,3202029947916666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2001268717447916666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
