native_id,partition_mode,generator_exponents,generator_exponent_alphaH,generator_exponent_D,depth,charge_sign,charge_magnitude,native_charge_axis,operator_class,route_class,native_mass_or_weight,native_mass_fraction,source_support,source_support_decimal,tensor_support,tensor_support_decimal,retained_support,retained_support_decimal,selector_rule,address_signature,route_combination,construction_hash
SAMN63-0049,1,alpha_H^0*D^0,0,0,2,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,18,18,18,18,9/4,2.25,63/4,15.75,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=1|d=2|q=neutral:0,"neutral_single_write[p=1,g=2]",de1a12375388592d4b6377f05f2d576bc8b87be77b679d5bac0dfc0a21a2b8a3
SAMN63-0050,1,alpha_H^0*D^0,0,0,2,positive,1,plus,V4_1_SINGLE_WRITE,single_write,180,180,725/4,181.25,725/32,22.65625,5075/32,158.59375,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=1|d=2|q=positive:1,"positive_single_write[p=1,g=2]",80d0f4955d40c43522516295fe66baa849c259cb10e32e452658f3d7329aa281
SAMN63-0051,1,alpha_H^0*D^0,0,0,2,negative,1,minus,V4_1_SINGLE_WRITE,single_write,216,216,435/2,217.5,435/16,27.1875,3045/16,190.3125,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=1|d=2|q=negative:1,"negative_single_write[p=1,g=2]",92cc31ed1306ba70197c4896c738303df44f12acb9cffc1d3fbf90e299c397d8
SAMN63-0052,2,alpha_H^1*D^0,1,0,2,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,36,36,36,36,9/2,4.5,63/2,31.5,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=2|d=2|q=neutral:0,"neutral_single_write[p=2,g=2]",df54e58ea36e7cb10074827faccdf40f394d3a0712e6cd4dca5a43516402ba90
SAMN63-0053,2,alpha_H^1*D^0,1,0,2,positive,2,plus,V4_1_SINGLE_WRITE,single_write,360,360,725/2,362.5,725/16,45.3125,5075/16,317.1875,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=2|d=2|q=positive:2,"positive_single_write[p=2,g=2]",5c6fccfa013f37c60cd72e4644de79602cf4b57f4a17b66230b491d1b8d41a89
SAMN63-0054,2,alpha_H^1*D^0,1,0,2,negative,2,minus,V4_1_SINGLE_WRITE,single_write,432,432,435,435,435/8,54.375,3045/8,380.625,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=2|d=2|q=negative:2,"negative_single_write[p=2,g=2]",8d6a9084be9d5e83dd39430f89e054c312e1d050e8cf4ab0de0f60b23579d98d
SAMN63-0055,3,alpha_H^0*D^1,0,1,2,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,54,54,54,54,27/4,6.75,189/4,47.25,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=3|d=2|q=neutral:0,"neutral_single_write[p=3,g=2]",11b1576207a133c7e98d4d4bd5039666bb0719def70eb3ae7c153be4f53294f2
SAMN63-0056,3,alpha_H^0*D^1,0,1,2,positive,3,plus,V4_1_SINGLE_WRITE,single_write,540,540,2175/4,543.75,2175/32,67.96875,15225/32,475.78125,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=3|d=2|q=positive:3,"positive_single_write[p=3,g=2]",6328c61bf7ae31de6ec7151bb6a6baeea8d8bac3df803e03b48566f02cf5a690
SAMN63-0057,3,alpha_H^0*D^1,0,1,2,negative,3,minus,V4_1_SINGLE_WRITE,single_write,648,648,1305/2,652.5,1305/16,81.5625,9135/16,570.9375,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=3|d=2|q=negative:3,"negative_single_write[p=3,g=2]",facd4a5d66e5173f17d9193b85a25197f5cbca8670eff50fbac1738ac90b6337
SAMN63-0058,4,alpha_H^2*D^0,2,0,2,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,72,72,72,72,9,9,63,63,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=4|d=2|q=neutral:0,"neutral_single_write[p=4,g=2]",710b7efa89a94e583870cafafcf97eb89a956712acc4932e10988d09b16f0d38
SAMN63-0059,4,alpha_H^2*D^0,2,0,2,positive,4,plus,V4_1_SINGLE_WRITE,single_write,720,720,725,725,725/8,90.625,5075/8,634.375,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=4|d=2|q=positive:4,"positive_single_write[p=4,g=2]",f8f4700495dc603d7755a384e23d1eccdf312933fb02ea28965204581c5a5bd7
SAMN63-0060,4,alpha_H^2*D^0,2,0,2,negative,4,minus,V4_1_SINGLE_WRITE,single_write,864,864,870,870,435/4,108.75,3045/4,761.25,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=4|d=2|q=negative:4,"negative_single_write[p=4,g=2]",9427d4342f07f530ef51632e40d0017d1dd64b24cf3f95204d2d43bf5b11491d
SAMN63-0061,6,alpha_H^1*D^1,1,1,2,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,108,108,108,108,27/2,13.5,189/2,94.5,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=6|d=2|q=neutral:0,"neutral_single_write[p=6,g=2]",f0e8933a83aa6861883410335c4691295dc81463ae6df7b9eabb32e878d88378
SAMN63-0062,6,alpha_H^1*D^1,1,1,2,positive,6,plus,V4_1_SINGLE_WRITE,single_write,1080,1080,2175/2,1087.5,2175/16,135.9375,15225/16,951.5625,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=6|d=2|q=positive:6,"positive_single_write[p=6,g=2]",cc8d15f587c1ea7e03dbc1dacb00b2fb3429bb67725bb1b5982cfd9dbe27b11b
SAMN63-0063,6,alpha_H^1*D^1,1,1,2,negative,6,minus,V4_1_SINGLE_WRITE,single_write,1296,1296,1305,1305,1305/8,163.125,9135/8,1141.875,DEPTH_2_LOW_PARTITION_MODES_ONLY,p=6|d=2|q=negative:6,"negative_single_write[p=6,g=2]",67917160c461686ba6884e174050e43ff8c28c2414b2974c241209b9ee46ab52
