qp_template_id,qp_source_row_id,qp_template_class,qp_partition_labels,charge_orientation,closure_depth,native_signature_id,payload_status,source_disposition,source_stability,source_closure
TPL_5b749944892837dd61fae82e,TOK_1345864ec09dba3f42a2bb35,TRIAD,1|6|9,negative,3,TYPEDRAW_e591863368a1fa07e3fa7897,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_5bf8482aea08606e8d6097d1,TOK_f6d64b62e98dfb61e78f91d5,TRIAD,1|1|4,positive,0,TYPEDRAW_643d4e7e5d20bbdfa1560b8a,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_5ca3a238db338a4ec6cf4516,TOK_f71d408b43cbbadc9d5320d7,UNARY,2,negative,0,TYPEDRAW_6fc9ad1f3542e799ecd49aee,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_5cb6175edfc75d4ca6801048,TOK_657c9a78d286a759a74b753f,PAIR,6|8,negative,3,TYPEDRAW_e8f7a78b4a5fbe80e9eefeac,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_5cfe96f1de5c2b293a12c844,TOK_70cdbaffb84d4598cb6e53db,TRIAD,1|2|4,neutral,3,TYPEDRAW_0b00ad7111705427bd5fa057,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_5f2bc576f263398fa36e29c4,TOK_5ba381bf732054dc9a9e9979,TRIAD,1|6|8,negative,0,TYPEDRAW_6f6e30821fde947bbc6871cb,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_6085ed357424a3682221025f,TOK_7ee30ff1bc82e2a0980e2747,UNARY,9,positive,2,TYPEDRAW_626020d2b004520a892e7e39,PAYLOAD,LEGAL_LOCAL_TEMPLATE,unstable_resonance_rows,CLOSED_WRITE
TPL_60c52694e1f1bfede56e11e7,TOK_a7faea3a70552fcca5761445,UNARY,8,negative,1,TYPEDRAW_70f11d7b4227a50e87ef80a9,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_61edc7d5ae50a96efc7e6c9b,TOK_06fbf0632ec03c47a549ecbd,UNARY,4,negative,2,TYPEDRAW_aa352e943632be1b786f5833,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_626ce2bde1f11a5334a76f89,TOK_84f836f15e51a5be97383595,PAIR,8|1,positive,3,TYPEDRAW_ec8555bffd4f7af7d74dbf2a,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_62ba877524e971cf1c3530cb,TOK_39c7f739d74fe216181d657a,REJECTED,3|3|6,neutral,0,TYPEDRAW_b52f15c63b521fb95e866118,REJECTED,REJECTED,bound_composite_rows,REJECT_NEGATIVE_OBSERVED_SURFACE
TPL_6359976bf39cde5193b5d5cc,TOK_839392fc2bd5a087580736cf,TRIAD,4|6|9,negative,3,TYPEDRAW_c855e03d5c2aa7f620ef8b50,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_63c9954668f325ce374c0dc6,TOK_18e5fe95b9101b39205d106a,TRIAD,2|4|12,negative,0,TYPEDRAW_8b339e64193eeca9f4ebe4f7,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_63efdec8fc023d88da92a6a7,TOK_e5857fbaac4cbdaa9e2acbaf,PAIR,2|12,negative,3,TYPEDRAW_61ef696b1530472d4e39c110,PAYLOAD,LEGAL_LOCAL_TEMPLATE,unstable_resonance_rows,CLOSED_PAIR_WRITE
TPL_65722946bf8eacfee93ce4e8,TOK_482c4a4946be580320c10a49,REJECTED,4|6|8,neutral,0,TYPEDRAW_c8d6a4163d60a35b20cc9d74,REJECTED,REJECTED,bound_composite_rows,REJECT_NEGATIVE_OBSERVED_SURFACE
TPL_65e17bef3ce04ac5c983ce81,TOK_788fa9b8d3b3970cd03ec4f5,TRIAD,4|4|6,neutral,3,TYPEDRAW_9b330504c04878b86e6eb835,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_6612ac3b0abac52209d1b4bc,TOK_7cfafb7ab07df8a1e0e74c9a,UNARY,3,positive,1,TYPEDRAW_98fad844bcbf91d9d9140b91,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_66fb68f02bc70da6f935544e,TOK_70862b4838e57a05384f3025,TRIAD,4|12|12,negative,3,TYPEDRAW_21413dd27c2abcd2cd2f4ce8,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
