bin_index,label,ell_center,X_data,X_sig,X_model,residual,residual_over_sigma
68,deep_TE_28,1750.5,-4.286678311892501e-05,5.750331506354186e-06,-4.361904053519247e-05,7.522574162674558e-07,0.13081983454974766
69,deep_TE_29,1800.5,-2.514132274852955e-05,4.944856445676304e-06,-1.816840427420057e-05,-6.972918474328982e-06,-1.4101356734887582
70,deep_TE_30,1850.5,-8.77383573819784e-06,4.494227172883946e-06,-8.645363196881334e-06,-1.2847254131650566e-07,-0.028586125350237874
71,deep_TE_31,1900.5,-1.723580228184716e-05,4.019351691641667e-06,-1.571984039565095e-05,-1.5159618861962105e-06,-0.3771657726166854
72,deep_TE_32,1950.5,-3.343494515842394e-05,3.824527190704196e-06,-2.6279650148666444e-05,-7.155295009757493e-06,-1.8708966240713312
73,deep_TE_33,2000.5,-2.844726321984126e-05,3.400883340857671e-06,-2.935675767540402e-05,9.094944555627613e-07,0.2674288896170709
74,deep_TE_34,2075.5,-1.8915082137637e-05,1.972673502126577e-06,-1.5713695735071812e-05,-3.2013864025651895e-06,-1.6228668348381208
75,deep_TE_35,2175.5,-4.987080978546539e-06,1.51947216548146e-06,-4.0249827309719096e-06,-9.620982475746294e-07,-0.6331792509471728
76,deep_TE_36,2275.5,-9.011975000623807e-06,1.322694051422328e-06,-8.7659365328634e-06,-2.4603846776040747e-07,-0.18601313546079365
77,deep_TE_37,2375.5,-8.123902391837418e-06,1.137213201479519e-06,-7.286438456386733e-06,-8.374639354506852e-07,-0.7364177045791777
78,deep_TE_38,2475.5,-3.217425941884808e-06,9.463323720786542e-07,-3.200149399887522e-06,-1.7276541997285745e-08,-0.018256315124608048
79,deep_TE_39,2625.5,-3.584775333073935e-06,5.444542090037037e-07,-3.5375955388987544e-06,-4.717979417518073e-08,-0.08665521065860615
80,deep_TE_40,2825.5,-9.707698403146397e-07,4.490800765116954e-07,-1.3598389021045778e-06,3.8906906178993817e-07,0.866369011095075
81,deep_TE_41,3025.5,-1.144818150103416e-06,3.712263130407264e-07,-1.0035866960770224e-06,-1.4123145402639353e-07,-0.38044569866172
82,deep_TE_42,3325.5,-1.047683921875833e-07,2.323566479673176e-07,-4.0774147945060246e-07,3.029730872630192e-07,1.3039140042407318
83,deep_TE_43,3725.5,-2.740272015464086e-07,2.086057908102628e-07,-1.2790210365798155e-07,-1.4612509788842705e-07,-0.7004843792727451
84,deep_TE_44,4125.5,7.311773481901843e-08,2.041069540840934e-07,-4.0322300440392703e-08,1.1344003525941113e-07,0.5557872134659022
85,deep_EE_00,350.5,0.0008097316407486505,9.677010812356645e-05,0.0009313196613759629,-0.00012158802062731241,-1.2564625893778665
86,deep_EE_01,400.5,0.0009016583116483526,7.979286061693554e-05,0.0008558166971464636,4.584161450188896e-05,0.574507720959679
87,deep_EE_02,450.5,0.0005060051537081017,4.759652992426247e-05,0.0005069586249016791,-9.534711935773633e-07,-0.020032367802748762
88,deep_EE_03,500.5,0.0002052064158508438,2.251310706562502e-05,0.00020645464889162998,-1.2482330407861844e-06,-0.055444725472482456
89,deep_EE_04,550.5,0.0001936975264955254,1.759885573872262e-05,0.00017338549923912245,2.031202725640295e-05,1.1541674957713621
90,deep_EE_05,600.5,0.0003313775760791031,2.888098233647675e-05,0.00034956733698542167,-1.8189760906318583e-05,-0.6298179436696262
91,deep_EE_06,650.5,0.0004750455130600312,3.538746857682609e-05,0.0005070901268131068,-3.204461375307555e-05,-0.9055356328612992
92,deep_EE_07,700.5,0.0004974983938517108,3.239493947623816e-05,0.00048390975793703283,1.3588635914677937e-05,0.41946785931318886
93,deep_EE_08,750.5,0.0003215027731207374,2.285949153609129e-05,0.0003130292832820374,8.473489838699982e-06,0.3706770916282966
94,deep_EE_09,800.5,0.0001644017338459889,1.221485968697346e-05,0.0001513790618753098,1.3022671970679118e-05,1.0661335704549393
95,deep_EE_10,850.5,9.837693960736942e-05,9.97715267538035e-06,0.00011526883989085444,-1.689190028348502e-05,-1.6930582134086734
96,deep_EE_11,900.5,0.0001867298828854109,1.291588812546294e-05,0.0001889876289202624,-2.257746034851519e-06,-0.17480377755831603
97,deep_EE_12,950.5,0.0002886528761019145,1.576202577124063e-05,0.0002677958695507069,2.0857006551207595e-05,1.3232440330901667
98,deep_EE_13,1000.5,0.0002683226402990113,1.57230203762939e-05,0.00026731636637064327,1.006273928368009e-06,0.06400003970517017
99,deep_EE_14,1050.5,0.0001798054789712478,1.198887422017568e-05,0.00018992354067716284,-1.0118061705915023e-05,-0.8439542796176535
100,deep_EE_15,1100.5,9.478192367838347e-05,7.546471529222206e-06,0.00010189714766343408,-7.1152239850506155e-06,-0.9428544131516736
101,deep_EE_16,1150.5,5.869916027957516e-05,4.93405561678755e-06,6.264813287737467e-05,-3.948972597799509e-06,-0.8003502401480009
102,deep_EE_17,1200.5,7.870417095378797e-05,5.374858173089005e-06,7.755416608878352e-05,1.1500048650044505e-06,0.21396003912481412
103,deep_EE_18,1250.5,9.729881345509056e-05,6.229422905875509e-06,0.00010801564762839956,-1.0716834173308997e-05,-1.7203574609135979
104,deep_EE_19,1300.5,0.0001104457218791504,6.559946617741835e-06,0.0001147124943662927,-4.2667724871423034e-06,-0.6504279281179695
105,deep_EE_20,1350.5,9.328525963606808e-05,5.57268905934431e-06,8.989600732311074e-05,3.3892523129573426e-06,0.6081897405121194
106,deep_EE_21,1400.5,6.186197922977953e-05,3.916944141347296e-06,5.500084323297451e-05,6.861135996805025e-06,1.7516553081211486
107,deep_EE_22,1450.5,3.602961406681061e-05,2.828893542239882e-06,3.475505355006595e-05,1.2745605167446605e-06,0.4505508947980699
108,deep_EE_23,1500.5,3.778613840795515e-05,2.736433694007639e-06,3.59625788985103e-05,1.8235595094448509e-06,0.6664000349937805
109,deep_EE_24,1550.5,4.445302249621818e-05,3.059422247138898e-06,4.676604607480735e-05,-2.313023578589171e-06,-0.7560328034981958
110,deep_EE_25,1600.5,4.783248328156333e-05,3.130363109948183e-06,5.134038694817795e-05,-3.5079036666146133e-06,-1.1206059947060518
111,deep_EE_26,1650.5,4.692508395228288e-05,2.729618522896619e-06,4.365787423799336e-05,3.267209714289521e-06,1.1969473708078522
112,deep_EE_27,1700.5,3.233315951148143e-05,2.258524604764582e-06,2.951919472981212e-05,2.813964781669314e-06,1.2459305405542078
113,deep_EE_28,1750.5,1.950127472804525e-05,1.751769160957866e-06,1.8521921379072652e-05,9.79353348972598e-07,0.5590652985562826
114,deep_EE_29,1800.5,1.523535994583653e-05,1.558110121402138e-06,1.5350146909120452e-05,-1.1478696328392246e-07,-0.07367063579602838
115,deep_EE_30,1850.5,1.70557971744347e-05,1.624656622370107e-06,1.7530831793826705e-05,-4.7503461939200347e-07,-0.292390781443408
116,deep_EE_31,1900.5,2.104671264534318e-05,1.591154584826963e-06,1.9511444376837706e-05,1.5352682685054746e-06,0.9648768781773859
117,deep_EE_32,1950.5,1.840523100565861e-05,1.616334812349824e-06,1.78908420556439e-05,5.143889500147083e-07,0.31824405815209217
118,deep_EE_33,2000.5,1.236780679037793e-05,1.445753712168481e-06,1.3572641938524318e-05,-1.2048351481463875e-06,-0.8333612689392714
119,deep_EE_34,2075.5,8.856478673333185e-06,8.027146834881518e-07,8.09038970054612e-06,7.660889727870651e-07,0.9543726912507297
120,deep_EE_35,2175.5,6.655749943078036e-06,7.570411190143604e-07,7.532790496381545e-06,-8.770405533035083e-07,-1.1585111181878505
121,deep_EE_36,2275.5,6.892084161944467e-06,7.158447993502183e-07,6.870436329360686e-06,2.1647832583780834e-08,0.030240958100737552
122,deep_EE_37,2375.5,3.881153954207832e-06,6.58865590960038e-07,3.8014636912092506e-06,7.969026299858143e-08,0.12095071300121189
123,deep_EE_38,2475.5,3.040864041080908e-06,5.964631625389598e-07,2.929025365912635e-06,1.1183867516827298e-07,0.18750307176089503
