Z,symbol,symbol_match_cr119,name_match_cr119,particle_expected_cr119,particle_observed_hh001,particle_match_cr119,element_expected_cr119,element_observed_hh001,element_match_cr119,gravity_expected_cr119_qA,gravity_observed_hh001,gravity_match_cr119,graviton_expected_cr119_qA_over_8,graviton_observed_hh001,graviton_match_cr119,gravity_over_8_match,courtroom_backed_row_pass,known_label_status,known_label_used_as_construction_input
87,Fr,True,True,311,311,True,87,87,True,6456.031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6456.031250,True,807.0039062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,807.003906,True,True,True,KNOWN_Z_DOWNSTREAM,no
88,Ra,True,True,315,315,True,88,88,True,6530.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6530.291667,True,816.286458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,816.286458,True,True,True,KNOWN_Z_DOWNSTREAM,no
89,Ac,True,True,318,318,True,89,89,True,6604.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,6604.427083,True,825.5533854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,825.553385,True,True,True,KNOWN_Z_DOWNSTREAM,no
90,Th,True,True,322,322,True,90,90,True,6678.687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6678.687500,True,834.8359374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,834.835938,True,True,True,KNOWN_Z_DOWNSTREAM,no
91,Pa,True,True,326,326,True,91,91,True,6752.947916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6752.947917,True,844.118489583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,844.118490,True,True,True,KNOWN_Z_DOWNSTREAM,no
92,U,True,True,329,329,True,92,92,True,6827.083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,6827.083333,True,853.3854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,853.385417,True,True,True,KNOWN_Z_DOWNSTREAM,no
93,Np,True,True,333,333,True,93,93,True,6901.343749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6901.343750,True,862.6679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,862.667969,True,True,True,KNOWN_Z_DOWNSTREAM,no
94,Pu,True,True,336,336,True,94,94,True,6975.479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6975.479167,True,871.934895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,871.934896,True,True,True,KNOWN_Z_DOWNSTREAM,no
95,Am,True,True,340,340,True,95,95,True,7049.739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,7049.739583,True,881.2174479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,881.217448,True,True,True,KNOWN_Z_DOWNSTREAM,no
96,Cm,True,True,344,344,True,96,96,True,7123.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,7124.000000,True,890.4999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996,890.500000,True,True,True,KNOWN_Z_DOWNSTREAM,no
97,Bk,True,True,355,355,True,97,97,True,7199.135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,7199.135417,True,899.891927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,899.891927,True,True,True,KNOWN_Z_DOWNSTREAM,no
