sob_id,Z,N,A,prediction_clock,reference_clock,clock_match,known_symbol,known_name,revealed_isotope_anchor,atomic_mass_u_reveal,matter_label,name_symbol_reveal_status,atomic_mass_reveal_status,reveal_source,prediction_hash_basis
SOB100,100,166,266,radioactive,radioactive,True,Fm,Fermium,Fm-266,,Matter A=266,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB101,101,168,269,radioactive,radioactive,True,Md,Mendelevium,Md-269,,Matter A=269,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB102,102,170,272,radioactive,radioactive,True,No,Nobelium,No-272,,Matter A=272,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB103,103,171,274,radioactive,radioactive,True,Lr,Lawrencium,Lr-274,,Matter A=274,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB104,104,173,277,radioactive,radioactive,True,Rf,Rutherfordium,Rf-277,,Matter A=277,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB105,105,175,280,radioactive,radioactive,True,Db,Dubnium,Db-280,,Matter A=280,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB106,106,176,282,radioactive,radioactive,True,Sg,Seaborgium,Sg-282,,Matter A=282,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB107,107,178,285,radioactive,radioactive,True,Bh,Bohrium,Bh-285,,Matter A=285,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB108,108,180,288,radioactive,radioactive,True,Hs,Hassium,Hs-288,,Matter A=288,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB109,109,190,299,radioactive,radioactive,True,Mt,Meitnerium,Mt-299,,Matter A=299,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB110,110,192,302,radioactive,radioactive,True,Ds,Darmstadtium,Ds-302,,Matter A=302,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB111,111,194,305,radioactive,radioactive,True,Rg,Roentgenium,Rg-305,,Matter A=305,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB112,112,196,308,radioactive,radioactive,True,Cn,Copernicium,Cn-308,,Matter A=308,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB113,113,197,310,radioactive,radioactive,True,Nh,Nihonium,Nh-310,,Matter A=310,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB114,114,199,313,radioactive,radioactive,True,Fl,Flerovium,Fl-313,,Matter A=313,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB115,115,201,316,radioactive,radioactive,True,Mc,Moscovium,Mc-316,,Matter A=316,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB116,116,203,319,radioactive,radioactive,True,Lv,Livermorium,Lv-319,,Matter A=319,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB117,117,204,321,radioactive,radioactive,True,Ts,Tennessine,Ts-321,,Matter A=321,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB118,118,206,324,radioactive,radioactive,True,Og,Oganesson,Og-324,,Matter A=324,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB119,119,208,327,frontier,frontier,True,,,,,Matter A=327,NO_REVEAL_LABEL,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB120,120,210,330,frontier,frontier,True,,,,,Matter A=330,NO_REVEAL_LABEL,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB121,121,221,342,frontier,frontier,True,,,,,Matter A=342,NO_REVEAL_LABEL,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB122,122,223,345,frontier,frontier,True,,,,,Matter A=345,NO_REVEAL_LABEL,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB123,123,225,348,frontier,frontier,True,,,,,Matter A=348,NO_REVEAL_LABEL,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB124,124,227,351,frontier,frontier,True,,,,,Matter A=351,NO_REVEAL_LABEL,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB125,125,229,354,frontier,frontier,True,,,,,Matter A=354,NO_REVEAL_LABEL,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB126,126,231,357,frontier,frontier,True,,,,,Matter A=357,NO_REVEAL_LABEL,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
