scenario_id,seed,door,anchor,p_level,geometry,group,carrier_count,quadrupole_change_norm,peak_source_norm,power_proxy,power_per_carrier,incoherent_power_expectation,coherence_gain,qnm_response_peak,trace_relative_error,all_carrier_coarse_power,all_carrier_coarse_response,power_convergence_relative_error,response_convergence_relative_error
REF_0259,910001,discovery,high_drive,1,localized_ledger_cells,escape_only,339,93.39917759587073,77.8121341918394,428.6957258772436,1.2645891618797747,62.62729771725115,6.845189581909043,35.29839568620932,1.1148387336737523e-15,,,,
REF_0259,910001,discovery,high_drive,1,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0259,910001,discovery,high_drive,1,localized_ledger_cells,dual,39,31.729396713433864,24.081938573869536,28.420890070197455,0.728740771030704,10.502743445990637,2.7060443984325797,11.231705289936523,4.765228691781888e-16,,,,
REF_0260,910001,discovery,high_drive,1,dispersed_slots,all_carriers,378,23.710736762072607,26.605644098682255,53.58245857675425,0.14175253591733927,109.99195639455675,0.4871488819104769,10.646403367654708,1.072737477066309e-15,52.67301005927527,10.674481426236424,0.016972877722216454,0.0026373280827421343
REF_0260,910001,discovery,high_drive,1,dispersed_slots,escape_only,337,26.818711804787615,28.76284290368635,50.33236573723451,0.14935420100069588,98.75514015157268,0.5096683135681112,11.775724126002434,6.954552281227997e-16,,,,
REF_0260,910001,discovery,high_drive,1,dispersed_slots,return_only,0,,,,,,,,,,,,
REF_0260,910001,discovery,high_drive,1,dispersed_slots,dual,2,1.8488950573094936,1.5678619112194658,0.14956069712947084,0.07478034856473542,0.1656907665224949,0.9026495577782594,0.7112695135709644,4.079571487543446e-16,,,,
REF_0261,910001,discovery,high_drive,2,localized_ledger_cells,all_carriers,594,137.87416706500488,114.29852545982015,198.8572185323221,0.3347764621756264,91.13914171335432,2.181907957370902,52.92861167184082,4.808371179234416e-16,194.6638586099341,53.08607377535154,0.02108729043550618,0.0029749902469950935
REF_0261,910001,discovery,high_drive,2,localized_ledger_cells,escape_only,568,121.1162609786945,104.00995105379508,124.49997851616789,0.21919010302142233,86.6548019051018,1.4367349042296749,48.36804409256587,5.183574794215171e-16,,,,
REF_0261,910001,discovery,high_drive,2,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0261,910001,discovery,high_drive,2,localized_ledger_cells,dual,26,21.449840551239383,15.81767040150456,9.543836891218312,0.3670706496622428,4.48433980825251,2.128259074759418,7.159598243645644,3.7544420606260355e-16,,,,
REF_0262,910001,discovery,high_drive,2,dispersed_slots,all_carriers,594,19.777789244631865,18.2776405309102,18.999733206781674,0.03198608283969979,124.18946896551711,0.15298989008526326,8.269488321706993,1.3496285602568981e-15,18.594869693814204,8.293041302587483,0.021308905159939825,0.002848178746279233
REF_0262,910001,discovery,high_drive,2,dispersed_slots,escape_only,557,21.612211009447538,19.430495380702595,17.20847875206825,0.030894934922923247,114.38545088909115,0.15044289827343252,8.843231840570295,9.212670918361866e-16,,,,
REF_0262,910001,discovery,high_drive,2,dispersed_slots,return_only,0,,,,,,,,,,,,
REF_0262,910001,discovery,high_drive,2,dispersed_slots,dual,2,2.0041474754392183,1.843126255753948,0.9410231929647259,0.47051159648236296,0.6916432625433879,1.3605614974174551,0.7883669201587942,2.7330751006665145e-16,,,,
REF_0263,910001,discovery,high_drive,3,localized_ledger_cells,all_carriers,1008,190.0440540665341,173.88871844641574,175.24886243878035,0.17385799845117098,121.83620132768549,1.438397295131013,81.09967961584232,2.7512654934155563e-16,171.88651583044827,81.33895469844276,0.019186125156770376,0.002950382587623714
REF_0263,910001,discovery,high_drive,3,localized_ledger_cells,escape_only,945,161.56203736761114,153.91155664275522,98.91497607829432,0.1046719323579834,114.0479897841097,0.8673101232694952,71.77874598005886,2.419961486447877e-16,,,,
REF_0263,910001,discovery,high_drive,3,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0263,910001,discovery,high_drive,3,localized_ledger_cells,dual,63,30.98145608389525,23.750066026358525,16.364541318418105,0.25975462410187466,7.7882115435758,2.101193737080318,11.027398798815623,3.5016088294568136e-16,,,,
REF_0264,910001,discovery,high_drive,3,dispersed_slots,all_carriers,1008,18.03507765925807,20.609274926061627,50.87486106636803,0.05047109232774606,156.1375272835523,0.3258336541603938,8.79558123971935,2.235333529233249e-15,49.69675933489664,8.819301142007427,0.02315685402923286,0.0026967975897899637
REF_0264,910001,discovery,high_drive,3,dispersed_slots,escape_only,952,21.422358228091237,21.3410868285319,68.80425885877142,0.07227338115417166,143.7522420524279,0.4786308573446653,9.630724140756492,8.93637911548924e-16,,,,
REF_0264,910001,discovery,high_drive,3,dispersed_slots,return_only,1,1.862918210864485,1.3882530589316284,0.048403611684788184,0.048403611684788184,0.048403611684788184,1.0,0.6428124992996999,4.2540674385411267e-16,,,,
REF_0264,910001,discovery,high_drive,3,dispersed_slots,dual,16,2.3880182113283612,3.255483562901817,0.21721295311856686,0.013575809569910429,1.1145840449204614,0.19488252510744272,1.5056150450045473,4.943038368301683e-16,,,,
REF_0265,910002,discovery,high_drive,0,localized_ledger_cells,all_carriers,252,90.52015608793579,65.3766725351215,69.28884278590262,0.2749557253408834,93.05800222525272,0.7445769426490011,30.15788706957437,3.3635385333719597e-16,67.9544116398699,30.247922606543508,0.019258961362019086,0.002985472316459829
REF_0265,910002,discovery,high_drive,0,localized_ledger_cells,escape_only,235,74.80749041100415,55.13972013159131,52.18371249792291,0.2220583510549911,84.58253466368186,0.6169561210883128,25.43945872512924,3.992701495428221e-16,,,,
REF_0265,910002,discovery,high_drive,0,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0265,910002,discovery,high_drive,0,localized_ledger_cells,dual,17,18.778299646123322,13.34267805657635,2.090100376902966,0.12294708099429211,8.475467561570863,0.2466059083725148,6.1643419325312605,2.858731307231893e-16,,,,
REF_0266,910002,discovery,high_drive,0,dispersed_slots,all_carriers,252,7.778191668736108,6.048602007511795,79.8135613705796,0.3167204816292842,63.3941473499909,1.2590052032711985,1.7747833151772727,1.6246367849176223e-15,78.43301122201305,1.7811544970472137,0.01729718765657594,0.003589836469307033
REF_0266,910002,discovery,high_drive,0,dispersed_slots,escape_only,215,16.032123814579954,12.381094807434097,77.01280350198826,0.35819908605575934,52.46849724758849,1.4677912946235154,5.22715099234654,8.574553560182237e-16,,,,
REF_0266,910002,discovery,high_drive,0,dispersed_slots,return_only,0,,,,,,,,,,,,
REF_0266,910002,discovery,high_drive,0,dispersed_slots,dual,0,,,,,,,,,,,,
