ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
94,8.946087e-01,2.089648e-01,6.976062e-01,-1.970025e-01,-0.9428
95,6.365256e-01,2.116370e-01,7.132365e-01,7.671091e-02,0.3625
96,6.930008e-01,2.142946e-01,7.287906e-01,3.578982e-02,0.1670
97,3.910411e-01,2.169360e-01,7.442538e-01,3.532127e-01,1.6282
98,8.285375e-01,2.195595e-01,7.596103e-01,-6.892724e-02,-0.3139
99,3.303800e-01,2.221636e-01,7.748459e-01,4.444660e-01,2.0006
100,5.883755e-01,2.247470e-01,7.899488e-01,2.015733e-01,0.8969
101,8.457134e-01,2.273080e-01,8.049040e-01,-4.080934e-02,-0.1795
102,9.196035e-01,2.298454e-01,8.196893e-01,-9.991423e-02,-0.4347
103,6.705130e-01,2.323578e-01,8.343044e-01,1.637914e-01,0.7049
104,8.269195e-01,2.348438e-01,8.487198e-01,2.180036e-02,0.0928
105,1.143847e+00,2.373021e-01,8.629279e-01,-2.809186e-01,-1.1838
106,6.836689e-01,2.397313e-01,8.769139e-01,1.932450e-01,0.8061
107,7.839212e-01,2.421302e-01,8.906702e-01,1.067490e-01,0.4409
108,1.086720e+00,2.444976e-01,9.041746e-01,-1.825455e-01,-0.7466
109,1.302249e+00,2.468323e-01,9.174196e-01,-3.848294e-01,-1.5591
110,5.356807e-01,2.491329e-01,9.303830e-01,3.947022e-01,1.5843
111,8.126426e-01,2.513984e-01,9.430571e-01,1.304144e-01,0.5188
112,1.211954e+00,2.536277e-01,9.554344e-01,-2.565198e-01,-1.0114
113,9.212461e-01,2.558195e-01,9.674924e-01,4.624625e-02,0.1808
114,5.251995e-01,2.579727e-01,9.792159e-01,4.540164e-01,1.7599
