ell,Dl_TT_SAM,Dl_TE_SAM,Dl_EE_SAM
497,2.436116e+03,-6.078690e+01,8.593286e+00
498,2.444246e+03,-5.989534e+01,8.478109e+00
499,2.452204e+03,-5.898120e+01,8.366328e+00
500,2.459983e+03,-5.804492e+01,8.258090e+00
501,2.467574e+03,-5.708718e+01,8.153390e+00
502,2.474979e+03,-5.610863e+01,8.052374e+00
503,2.482190e+03,-5.510982e+01,7.955035e+00
504,2.489208e+03,-5.409161e+01,7.861591e+00
505,2.496040e+03,-5.305460e+01,7.771963e+00
506,2.502672e+03,-5.199947e+01,7.686294e+00
507,2.509111e+03,-5.092687e+01,7.604667e+00
508,2.515351e+03,-4.983754e+01,7.527152e+00
509,2.521383e+03,-4.873215e+01,7.453803e+00
510,2.527224e+03,-4.761143e+01,7.384682e+00
511,2.532852e+03,-4.647598e+01,7.319843e+00
512,2.538280e+03,-4.532653e+01,7.259340e+00
513,2.543496e+03,-4.416381e+01,7.203241e+00
514,2.548498e+03,-4.298842e+01,7.151603e+00
515,2.553288e+03,-4.180108e+01,7.104470e+00
516,2.557866e+03,-4.060261e+01,7.061905e+00
517,2.562224e+03,-3.939359e+01,7.023948e+00
518,2.566356e+03,-3.817483e+01,6.990659e+00
519,2.570268e+03,-3.694707e+01,6.962079e+00
520,2.573947e+03,-3.571096e+01,6.938255e+00
521,2.577401e+03,-3.446730e+01,6.919241e+00
