Z,generated_element_closure_id,cr220_element_closure_id,cr119_element_closure_id,all_compared_fields_match,failed_fields,G_generated,G_CR220,G_CR119,GR_generated,GR_CR220,GR_CR119,construction_role
70,CR222-EZ070,CR220-EZ070,QP094A-EZ070,True,,649.1380208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,649.1380208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,649.1380208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5193.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,5193.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,5193.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
71,CR222-EZ071,CR220-EZ071,QP094A-EZ071,True,,658.4049479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,658.4049479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,658.4049479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,5267.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5267.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5267.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,generated_first_from_constants_then_compared
72,CR222-EZ072,CR220-EZ072,QP094A-EZ072,True,,667.6875,667.6874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,667.6874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5341.5,5341.499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5341.499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
73,CR222-EZ073,CR220-EZ073,QP094A-EZ073,True,,677.0481770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,677.0481770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,677.0481770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5416.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,5416.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,5416.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
74,CR222-EZ074,CR220-EZ074,QP094A-EZ074,True,,686.3307291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,686.3307291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,686.3307291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,5490.645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5490.645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5490.645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,generated_first_from_constants_then_compared
75,CR222-EZ075,CR220-EZ075,QP094A-EZ075,True,,695.59765625,695.5976562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,695.5976562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5564.78125,5564.781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5564.781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
76,CR222-EZ076,CR220-EZ076,QP094A-EZ076,True,,704.8802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,704.8802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,704.8802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5639.041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,5639.041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,5639.041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
77,CR222-EZ077,CR220-EZ077,QP094A-EZ077,True,,714.1471354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,714.1471354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,714.1471354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,5713.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5713.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5713.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,generated_first_from_constants_then_compared
78,CR222-EZ078,CR220-EZ078,QP094A-EZ078,True,,723.4296875,723.4296874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,723.4296874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5787.4375,5787.437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5787.437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
79,CR222-EZ079,CR220-EZ079,QP094A-EZ079,True,,732.6966145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,732.6966145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,732.6966145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5861.572916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,5861.572916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,5861.572916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
80,CR222-EZ080,CR220-EZ080,QP094A-EZ080,True,,741.9791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,741.9791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,741.9791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,5935.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5935.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5935.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,generated_first_from_constants_then_compared
81,CR222-EZ081,CR220-EZ081,QP094A-EZ081,True,,751.24609375,751.2460937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,751.2460937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6009.96875,6009.968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6009.968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
82,CR222-EZ082,CR220-EZ082,QP094A-EZ082,True,,760.5286458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,760.528645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,760.528645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,6084.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,6084.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6084.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,generated_first_from_constants_then_compared
83,CR222-EZ083,CR220-EZ083,QP094A-EZ083,True,,769.7955729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,769.7955729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,769.7955729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6158.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,6158.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,6158.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,generated_first_from_constants_then_compared
84,CR222-EZ084,CR220-EZ084,QP094A-EZ084,True,,779.078125,779.0781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,779.0781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6232.625,6232.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6232.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
85,CR222-EZ085,CR220-EZ085,QP094A-EZ085,True,,788.4544270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,788.454427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,788.454427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,6307.635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,6307.635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6307.635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,generated_first_from_constants_then_compared
86,CR222-EZ086,CR220-EZ086,QP094A-EZ086,True,,797.7369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,797.7369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,797.7369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6381.895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,6381.895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,6381.895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,generated_first_from_constants_then_compared
87,CR222-EZ087,CR220-EZ087,QP094A-EZ087,True,,807.00390625,807.0039062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,807.0039062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6456.03125,6456.031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6456.031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
88,CR222-EZ088,CR220-EZ088,QP094A-EZ088,True,,816.2864583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,816.286458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,816.286458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,6530.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,6530.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6530.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,generated_first_from_constants_then_compared
