Z,Symbol,N,A,anchor,p,n,e,u,d,G_sub,Q_sub,Q_mass,chi,m_0_baseline_u,GR,retained_7G,released_G,stability,radix_cycle,selected_depth
91,Pa,136,227,Pa-227,91,136,91,318,363,843.99348958,6751.94791667,8414.36979167,0.80243061,227.0000,6751.947917,5907.954427,843.993490,UNSTABLE,7,6
92,U,145,237,U-237,92,145,92,329,382,853.38541667,6827.08333333,8785.04687500,0.77712543,237.0000,6827.083333,5973.697917,853.385417,UNSTABLE,8,7
93,Np,155,248,Np-248,93,155,93,341,403,862.79296875,6902.34375000,9192.79166667,0.75084305,248.0000,6902.343750,6039.550781,862.792969,UNSTABLE,9,8
94,Pu,164,258,Pu-258,94,164,94,352,422,872.18489583,6977.47916667,9563.46875000,0.72959711,258.0000,6977.479167,6105.294271,872.184896,UNSTABLE,10,9
95,Am,174,269,Am-269,95,174,95,364,443,881.59244792,7052.73958333,9971.21354167,0.70731005,269.0000,7052.739583,6171.147135,881.592448,UNSTABLE,11,10
96,Cm,184,280,Cm-280,96,184,96,376,464,891.00000000,7128.00000000,10378.95833333,0.68677412,280.0000,7128.000000,6237.000000,891.000000,UNSTABLE,12,11
97,Bk,97,194,Bk-194,97,97,97,291,291,898.89192708,7191.13541667,7191.13541667,1.00000000,194.0000,7191.135417,6292.243490,898.891927,UNSTABLE,1,0
98,Cf,106,204,Cf-204,98,106,98,302,310,908.28385417,7266.27083333,7561.81250000,0.96091656,204.0000,7266.270833,6357.986979,908.283854,UNSTABLE,2,1
99,Es,115,214,Es-214,99,115,99,313,329,917.67578125,7341.40625000,7932.48958333,0.92548577,214.0000,7341.406250,6423.730469,917.675781,UNSTABLE,3,2
100,Fm,125,225,Fm-225,100,125,100,325,350,927.08333333,7416.66666667,8340.23437500,0.88926358,225.0000,7416.666667,6489.583333,927.083333,UNSTABLE,4,3
101,Md,134,235,Md-235,101,134,101,336,369,936.47526042,7491.80208333,8710.91145833,0.86004801,235.0000,7491.802083,6555.326823,936.475260,UNSTABLE,5,4
102,No,144,246,No-246,102,144,102,348,390,945.88281250,7567.06250000,9118.65625000,0.82984404,246.0000,7567.062500,6621.179688,945.882812,UNSTABLE,6,5
103,Lr,154,257,Lr-257,103,154,103,360,411,955.29036458,7642.32291667,9526.40104167,0.80222561,257.0000,7642.322917,6687.032552,955.290365,UNSTABLE,7,6
104,Rf,164,268,Rf-268,104,164,104,372,432,964.69791667,7717.58333333,9934.14583333,0.77687437,268.0000,7717.583333,6752.885417,964.697917,UNSTABLE,8,7
105,Db,175,280,Db-280,105,175,105,385,455,974.12109375,7792.96875000,10378.95833333,0.75084305,280.0000,7792.968750,6818.847656,974.121094,UNSTABLE,9,8
106,Sg,185,291,Sg-291,106,185,106,397,476,983.52864583,7868.22916667,10786.70312500,0.72943782,291.0000,7868.229167,6884.700521,983.528646,UNSTABLE,10,9
107,Bh,196,303,Bh-303,107,196,107,410,499,992.95182292,7943.61458333,11231.51562500,0.70726114,303.0000,7943.614583,6950.662760,992.951823,UNSTABLE,11,10
108,Hs,207,315,Hs-315,108,207,108,423,522,1002.37500000,8019.00000000,11676.32812500,0.68677412,315.0000,8019.000000,7016.625000,1002.375000,UNSTABLE,12,11
109,Mt,109,218,Mt-218,109,109,109,327,327,1010.09505208,8080.76041667,8080.76041667,1.00000000,218.0000,8080.760417,7070.665365,1010.095052,UNSTABLE,1,0
110,Ds,119,229,Ds-229,110,119,110,339,348,1019.50260417,8156.02083333,8488.50520833,0.96083122,229.0000,8156.020833,7136.518229,1019.502604,UNSTABLE,2,1
111,Rg,129,240,Rg-240,111,129,111,351,369,1028.91015625,8231.28125000,8896.25000000,0.92525292,240.0000,8231.281250,7202.371094,1028.910156,UNSTABLE,3,2
112,Cn,140,252,Cn-252,112,140,112,364,392,1038.33333333,8306.66666667,9341.06250000,0.88926358,252.0000,8306.666667,7268.333333,1038.333333,UNSTABLE,4,3
113,Nh,150,263,Nh-263,113,150,113,376,413,1047.74088542,8381.92708333,9748.80729167,0.85979001,263.0000,8381.927083,7334.186198,1047.740885,UNSTABLE,5,4
114,Fl,161,275,Fl-275,114,161,114,389,436,1057.16406250,8457.31250000,10193.61979167,0.82966725,275.0000,8457.312500,7400.148438,1057.164062,UNSTABLE,6,5
115,Mc,172,287,Mc-287,115,172,115,402,459,1066.58723958,8532.69791667,10638.43229167,0.80206347,287.0000,8532.697917,7466.110677,1066.587240,UNSTABLE,7,6
116,Lv,183,299,Lv-299,116,183,116,415,482,1076.01041667,8608.08333333,11083.24479167,0.77667538,299.0000,8608.083333,7532.072917,1076.010417,UNSTABLE,8,7
117,Ts,195,312,Ts-312,117,195,117,429,507,1085.44921875,8683.59375000,11565.12500000,0.75084305,312.0000,8683.593750,7598.144531,1085.449219,UNSTABLE,9,8
118,Og,206,324,Og-324,118,206,118,442,530,1094.87239583,8758.97916667,12009.93750000,0.72931097,324.0000,8758.979167,7664.106771,1094.872396,UNSTABLE,10,9
119,Uue,218,337,Uue-337,119,218,119,456,555,1104.31119792,8834.48958333,12491.81770833,0.70722210,337.0000,8834.489583,7730.178385,1104.311198,UNSTABLE,11,10
120,Ubn,230,350,Ubn-350,120,230,120,470,580,1113.75000000,8910.00000000,12973.69791667,0.68677412,350.0000,8910.000000,7796.250000,1113.750000,UNSTABLE,12,11
121,Ubu,121,242,Ubu-242,121,121,121,363,363,1121.29817708,8970.38541667,8970.38541667,1.00000000,242.0000,8970.385417,7849.087240,1121.298177,UNSTABLE,1,0
122,Ubb,132,254,Ubb-254,122,132,122,376,386,1130.72135417,9045.77083333,9415.19791667,0.96076269,254.0000,9045.770833,7915.049479,1130.721354,UNSTABLE,2,1
123,Ubt,143,266,Ubt-266,123,143,123,389,409,1140.14453125,9121.15625000,9860.01041667,0.92506558,266.0000,9121.156250,7981.011719,1140.144531,UNSTABLE,3,2
124,Ubq,155,279,Ubq-279,124,155,124,403,434,1149.58333333,9196.66666667,10341.89062500,0.88926358,279.0000,9196.666667,8047.083333,1149.583333,UNSTABLE,4,3
125,Ubp,166,291,Ubp-291,125,166,125,416,457,1159.00651042,9272.05208333,10786.70312500,0.85958165,291.0000,9272.052083,8113.045573,1159.006510,UNSTABLE,5,4
126,Ubh,178,304,Ubh-304,126,178,126,430,482,1168.44531250,9347.56250000,11268.58333333,0.82952419,304.0000,9347.562500,8179.117188,1168.445312,UNSTABLE,6,5
