sample_idx,mass_density_modulation_BEC,MEMS_pressure,EM_laser_focal,acoustic_phonon,charge_pulse_low_field,spontaneous_baseline
726,-2.3233,-3.3979,-2.7074,-11.7926,-6.7093,-20.301
727,-2.6466,-3.7461,-3.1924,-12.2775,-7.1943,-20.5786
728,-2.9227,-4.0221,-3.4684,-12.5536,-7.4704,-20.8546
729,-2.3233,-3.3979,-2.6062,-11.6914,-6.6082,-20.301
730,-2.4046,-3.504,-2.9503,-12.0355,-6.9523,-20.3366
731,-2.3233,-3.3979,-2.7324,-11.8176,-6.7343,-20.301
732,-2.3233,-3.3979,-2.568,-11.499,-6.4158,-20.301
733,-2.7526,-3.852,-3.2983,-12.3835,-7.3003,-20.6846
734,-2.3233,-3.3979,-2.8121,-11.8973,-6.814,-20.301
735,-2.3233,-3.3979,-2.7525,-11.8377,-6.7545,-20.301
736,-2.379,-3.4785,-2.9248,-12.01,-6.9267,-20.311
737,-2.8613,-3.9607,-3.407,-12.4922,-7.409,-20.7932
738,-2.5521,-3.6516,-3.0979,-12.1831,-7.0998,-20.4841
739,-2.5698,-3.6692,-3.1155,-12.2007,-7.1175,-20.5017
740,-2.3233,-3.3979,-2.71,-11.7951,-6.7119,-20.301
741,-2.3233,-3.3979,-2.568,-11.5692,-6.486,-20.301
742,-2.574,-3.6735,-3.1198,-12.2049,-7.1217,-20.506
743,-2.3233,-3.3979,-2.6816,-11.7668,-6.6836,-20.301
744,-2.6241,-3.7235,-3.1698,-12.255,-7.1718,-20.556
745,-2.3233,-3.3979,-2.568,-11.4639,-6.3807,-20.301
746,-2.3233,-3.3979,-2.568,-11.6224,-6.5392,-20.301
747,-2.3233,-3.4082,-2.8545,-11.9397,-6.8564,-20.301
748,-2.4235,-3.5229,-2.9692,-12.0544,-6.9712,-20.3554
749,-2.5924,-3.6919,-3.1382,-12.2233,-7.1401,-20.5244
750,-2.5819,-3.6813,-3.1276,-12.2128,-7.1296,-20.5138
751,-2.3233,-3.3979,-2.568,-11.4338,-6.3506,-20.301
752,-2.4844,-3.5839,-3.0302,-12.1154,-7.0322,-20.4164
753,-2.3515,-3.4509,-2.8972,-11.9824,-6.8992,-20.301
754,-2.3233,-3.3979,-2.568,-11.4122,-6.329,-20.301
755,-2.3233,-3.3979,-2.725,-11.8102,-6.7269,-20.301
756,-2.3233,-3.4172,-2.8635,-11.9487,-6.8655,-20.301
757,-2.4735,-3.573,-3.0193,-12.1045,-7.0212,-20.4055
758,-2.7453,-3.8447,-3.291,-12.3762,-7.293,-20.6772
759,-2.5355,-3.635,-3.0813,-12.1664,-7.0832,-20.4675
760,-2.3233,-3.3979,-2.606,-11.6912,-6.608,-20.301
761,-2.3233,-3.3979,-2.7638,-11.849,-6.7658,-20.301
762,-2.3233,-3.3979,-2.6018,-11.6869,-6.6037,-20.301
763,-2.726,-3.8255,-3.2718,-12.357,-7.2737,-20.658
764,-2.3233,-3.4093,-2.8556,-11.9407,-6.8575,-20.301
765,-2.3233,-3.3979,-2.568,-11.485,-6.4018,-20.301
766,-2.4436,-3.543,-2.9893,-12.0745,-6.9913,-20.3755
767,-2.3233,-3.3979,-2.6761,-11.7613,-6.678,-20.301
768,-2.8249,-3.9244,-3.3707,-12.4558,-7.3726,-20.7569
769,-2.3233,-3.3979,-2.568,-11.4303,-6.347,-20.301
770,-2.3233,-3.3979,-2.7837,-11.8689,-6.7857,-20.301
771,-2.683,-3.7824,-3.2287,-12.3139,-7.2307,-20.6149
772,-2.7804,-3.8799,-3.3262,-12.4114,-7.3281,-20.7124
773,-2.3233,-3.4073,-2.8536,-11.9388,-6.8555,-20.301
774,-2.3233,-3.4056,-2.8519,-11.9371,-6.8538,-20.301
775,-2.8589,-3.9583,-3.4046,-12.4898,-7.4066,-20.7909
776,-2.3233,-3.3979,-2.568,-11.4073,-6.324,-20.301
777,-2.3233,-3.3979,-2.568,-11.5028,-6.4195,-20.301
778,-2.4155,-3.5149,-2.9612,-12.0464,-6.9632,-20.3475
779,-2.8297,-3.9291,-3.3754,-12.4606,-7.3774,-20.7616
780,-2.3233,-3.3979,-2.568,-11.6001,-6.5168,-20.301
781,-2.371,-3.4705,-2.9168,-12.002,-6.9187,-20.303
782,-2.3233,-3.3979,-2.654,-11.7392,-6.6559,-20.301
783,-2.3584,-3.4578,-2.9041,-11.9893,-6.9061,-20.301
784,-2.6419,-3.7413,-3.1876,-12.2728,-7.1896,-20.5739
785,-2.3233,-3.3979,-2.568,-11.597,-6.5137,-20.301
786,-2.3233,-3.3979,-2.568,-11.4217,-6.3385,-20.301
787,-2.6776,-3.7771,-3.2234,-12.3086,-7.2253,-20.6096
788,-2.3233,-3.4068,-2.8531,-11.9383,-6.855,-20.301
789,-2.5092,-3.6087,-3.055,-12.1402,-7.0569,-20.4412
790,-2.3233,-3.3979,-2.568,-11.492,-6.4088,-20.301
791,-2.3591,-3.4586,-2.9049,-11.9901,-6.9068,-20.301
792,-2.3233,-3.3979,-2.568,-11.5432,-6.46,-20.301
793,-2.3233,-3.3979,-2.568,-11.5617,-6.4784,-20.301
794,-2.6385,-3.7379,-3.1842,-12.2694,-7.1862,-20.5705
795,-2.3233,-3.3979,-2.568,-11.6508,-6.5676,-20.301
796,-2.4715,-3.5709,-3.0172,-12.1024,-7.0192,-20.4034
797,-2.3233,-3.3979,-2.568,-11.4771,-6.3939,-20.301
798,-2.3597,-3.4592,-2.9055,-11.9907,-6.9074,-20.301
799,-2.3233,-3.3979,-2.568,-11.614,-6.5308,-20.301
800,-2.6306,-3.73,-3.1763,-12.2615,-7.1783,-20.5625
801,-2.6116,-3.7111,-3.1574,-12.2426,-7.1593,-20.5436
802,-2.3233,-3.3979,-2.8101,-11.8953,-6.8121,-20.301
803,-2.3233,-3.3979,-2.568,-11.3993,-6.316,-20.301
