candidate_id,operator_class,partition,tier,role,M_native,q_abs,q_sign,closure_depth,stability_status
QP093A-0106,V4_1_SINGLE_WRITE,1,1body_fermion,1-body fermion ladder (atomic identity broadcast),216.0,1,positive,2,ANTIMATTER_STABLE_CONJUGATE
QP093A-0107,V4_1_SINGLE_WRITE,2,1body_fermion,1-body fermion ladder (atomic identity broadcast),360.00,2,negative,2,ANTIMATTER_STABLE_CONJUGATE
QP093A-0108,V4_1_SINGLE_WRITE,2,1body_fermion,1-body fermion ladder (atomic identity broadcast),432.0,2,positive,2,ANTIMATTER_STABLE_CONJUGATE
QP093A-0109,V4_1_SINGLE_WRITE,3,1body_fermion,1-body fermion ladder (atomic identity broadcast),540.00,3,negative,2,ANTIMATTER_STABLE_CONJUGATE
QP093A-0110,V4_1_SINGLE_WRITE,3,1body_fermion,1-body fermion ladder (atomic identity broadcast),648.0,3,positive,2,ANTIMATTER_STABLE_CONJUGATE
QP093A-0111,V4_1_SINGLE_WRITE,4,1body_fermion,1-body fermion ladder (atomic identity broadcast),720.00,4,negative,2,ANTIMATTER_STABLE_CONJUGATE
QP093A-0112,V4_1_SINGLE_WRITE,4,1body_fermion,1-body fermion ladder (atomic identity broadcast),864.0,4,positive,2,ANTIMATTER_STABLE_CONJUGATE
QP093A-0113,V4_1_SINGLE_WRITE,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),1080.00,6,negative,2,ANTIMATTER_STABLE_CONJUGATE
QP093A-0114,V4_1_SINGLE_WRITE,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),1296.0,6,positive,2,ANTIMATTER_STABLE_CONJUGATE
QP093A-0115,GROUND_BARYON_3BODY,1+1+1,3body_standard,3-body standard letter (carrier + envelope + sensor),108,1,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE
QP093A-0116,OCTET_COMPOSITE,1+1+2,3body_standard,3-body standard letter (carrier + envelope + sensor),216,2,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0117,OCTET_COMPOSITE,1+1+3,3body_standard,3-body standard letter (carrier + envelope + sensor),396,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0118,GROUND_BARYON_3BODY,1+1+4,3body_standard,3-body standard letter (carrier + envelope + sensor),648,1,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE
QP093A-0119,OCTET_COMPOSITE,1+1+6,3body_standard,3-body standard letter (carrier + envelope + sensor),1368,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0120,OCTET_COMPOSITE,1+1+8,3body_standard,3-body standard letter (carrier + envelope + sensor),2376,2,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0121,OCTET_COMPOSITE,1+1+9,3body_standard,3-body standard letter (carrier + envelope + sensor),2988,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
QP093A-0122,OCTET_COMPOSITE,1+1+12,3body_standard,3-body standard letter (carrier + envelope + sensor),5256,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE
