lane_id,lane_class,range_name,channel,ell_min,ell_max,n_points,official_theory_chi2_diag,model_chi2_diag,delta_chi2_vs_official_theory,official_theory_chi2_per_point,model_chi2_per_point,delta_chi2_per_point,rms_model_minus_official_theory_Dl,max_abs_model_minus_official_theory_Dl,rms_model_minus_measured_in_sigma
wc_ns_scale_invariant,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TE,2,29,28,27.010276594364893,26.63665857773212,-0.37361801663277205,0.9646527355130319,0.9513092349190043,-0.013343500594027573,0.19870341976557146,0.4450798620638925,0.9753508265844677
wc_ns_scale_invariant,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611631,2052.4534724839964,8.375214922833266,1.0391856927103016,1.043443554897812,0.004257862187510557,0.5677027687405373,1.128251932503872,1.0214908491503054
wc_ns_scale_invariant,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,EE,2,29,28,22.588468457795948,23.655043337112282,1.0665748793163345,0.8067310163498552,0.8448229763254387,0.03809195997558338,0.001840506923742943,0.0054937316520457385,0.919142522313835
wc_tau_bare_two_A0,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TT,30,2500,2471,2538.388360692202,2645.069654809964,106.68129411776226,1.0272716959498995,1.070445024204761,0.043173328254861296,29.695428272950682,92.28837470950748,1.034623131485451
wc_tau_bare_two_A0,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TT,2,29,28,27.358720116418983,30.05631457678248,2.697594460363497,0.9770971470149636,1.07343980631366,0.09634265929869633,15.834854856540211,19.553949881721564,1.0360694022668848
wc_tau_bare_two_A0,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288202,2055.765325260887,10.031269632066824,1.0400274812551196,1.0451272624610508,0.005099781205931278,0.7465195052295421,1.942890770637291,1.022314659222419
wc_tau_bare_two_A0,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TE,2,29,28,27.010276594364893,27.079183503194727,0.06890690882983463,0.9646527355130319,0.9671136965426689,0.002460961029636951,0.020118950914117913,0.030571342898762177,0.9834193899566293
wc_tau_bare_two_A0,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611631,2052.7628745618154,8.684617000652224,1.0391856927103016,1.0436008513278165,0.004415158617515112,0.28712556344239654,0.58744588932759,1.0215678398069394
wc_tau_bare_two_A0,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,EE,2,29,28,22.588468457795948,22.584671927078777,-0.0037965307171710094,0.8067310163498552,0.8065954259670992,-0.00013559038275610748,0.00041090641596605847,0.0011789454845582276,0.8981065782896255
sam_native_primary,PRIMARY_SEALED_PREDICTION,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882186,6708.650830994511,80.45015711232554,1.0348478803875387,1.0474084045268557,0.012560524139317025,,,
sam_native_primary,PRIMARY_SEALED_PREDICTION,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857983,79.26125548890661,2.303790320326783,0.9161602996259504,0.9435863748679358,0.027426075241985513,,,
wc_imported_As_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882186,6628.702275203182,0.5016013209960875,1.0348478803875387,1.0349261944111134,7.831402357472092e-05,,,
wc_imported_As_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857983,77.3964802332735,0.43901506469366325,0.9161602996259504,0.921386669443732,0.005226369817781705,,,
wc_imported_ns_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882186,6710.098505448162,81.89783156597605,1.0348478803875387,1.047634427080119,0.01278654669258018,,,
wc_imported_ns_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857983,79.12669856607074,2.1692333974909133,0.9161602996259504,0.9419845067389374,0.025824207112987062,,,
wc_imported_tau_only,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882186,6710.331457800132,82.13078391794625,1.0348478803875387,1.0476707974707467,0.012822917083207845,,,
wc_imported_tau_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857983,79.27875052480684,2.3212853562270084,0.9161602996259504,0.9437946491048433,0.027634349478892956,,,
wc_all_imported_trio,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882186,6628.404839374624,0.20416549243873305,1.0348478803875387,1.0348797563426424,3.1875955103627333e-05,,,
wc_all_imported_trio,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857983,77.29017023881568,0.3327050702358463,0.9161602996259504,0.9201210742716152,0.003960774645664837,,,
wc_As_bare_radix_no_source,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882186,13507.246373689006,6879.04569980682,1.0348478803875387,2.108859699248869,1.0740118188613303,,,
wc_As_bare_radix_no_source,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857983,98.56887516968999,21.61141000111016,0.9161602996259504,1.173438990115357,0.25727869048940666,,,
wc_ns_scale_invariant,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882186,7264.371314744384,636.1706408621985,1.0348478803875387,1.1341719460959225,0.09932406570838384,,,
wc_ns_scale_invariant,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857983,67.68346365666756,-9.274001511912275,0.9161602996259504,0.8057555197222328,-0.11040477990371755,,,
wc_tau_bare_two_A0,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TTTEEE_COMBINED,30,2500,6405,6628.200673882186,6753.597854632666,125.3971807504804,1.0348478803875387,1.054425894556232,0.019578014168693272,,,
wc_tau_bare_two_A0,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TTTEEE_COMBINED,2,29,84,76.95746516857983,79.72017000705598,2.7627048384761537,0.9161602996259504,0.9490496429411427,0.032889343315192304,,,
